"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 16 10:44:41 CST 2023","Sun Jul 16 10:44:41 CST 2023","148","Run","test_run_case","TestRunCaseDdt","","","test_main_case[data6]",""
"passed","Sun Jul 16 10:44:41 CST 2023","Sun Jul 16 10:44:41 CST 2023","1","Run","test_run_case","TestRunCaseDdt","","","test_main_case[data4]",""
"passed","Sun Jul 16 10:44:41 CST 2023","Sun Jul 16 10:44:41 CST 2023","0","Run","test_run_case","TestRunCaseDdt","","","test_main_case[data0]",""
"failed","Sun Jul 16 10:44:41 CST 2023","Sun Jul 16 10:44:41 CST 2023","208","Run","test_run_case","TestRunCaseDdt","","","test_main_case[data3]",""
"passed","Sun Jul 16 10:44:41 CST 2023","Sun Jul 16 10:44:41 CST 2023","0","Run","test_run_case","TestRunCaseDdt","","","test_main_case[data5]",""
"passed","Sun Jul 16 10:44:41 CST 2023","Sun Jul 16 10:44:41 CST 2023","0","Run","test_run_case","TestRunCaseDdt","","","test_main_case[data1]",""
"passed","Sun Jul 16 10:44:41 CST 2023","Sun Jul 16 10:44:41 CST 2023","0","Run","test_run_case","TestRunCaseDdt","","","test_main_case[data2]",""
